ID,Category,Question,Answer,Difficulty
186,AI (Data Science),What is a research design?,"Answer: A research design is a structured plan for conducting a study, outlining how data will be collected, analyzed, and interpreted to answer research questions.",Medium
187,AI (Data Science),What is the difference between a one-tailed and a two-tailed test?,"Answer: A one-tailed test assesses the effect in one direction, while a two-tailed test evaluates effects in both directions, allowing for the detection of any significant difference.",Hard
188,AI (Data Science),What is a statistical power analysis?,"Answer: A statistical power analysis determines the sample size needed to detect an effect of a given size with a specified level of confidence, helping to plan studies effectively.",Hard
189,AI (Data Science),What is a Likert scale?,Answer: A Likert scale is a psychometric scale used to measure attitudes or opinions by asking respondents to indicate their level of agreement or disagreement on a symmetrical scale.,Medium
190,AI (Data Science),What is a response rate in survey research?,"Answer: The response rate is the percentage of participants who completed a survey out of the total number of individuals invited to participate, indicating the survey's reach and engagement.",Medium
191,AI (Data Science),What is the difference between qualitative and quantitative data?,"Answer: Qualitative data is descriptive and categorical, often collected through interviews or open-ended questions, while quantitative data is numerical, collected through surveys or experiments.",Medium
192,AI (Data Science),What is a regression analysis?,"Answer: A regression analysis is a statistical method used to estimate the relationships among variables, often used for prediction and modeling.",Medium
193,AI (Data Science),What is the importance of sampling techniques in research?,"Answer: Sampling techniques ensure that the sample accurately represents the population, reducing bias and improving the validity of research findings.",Medium
194,AI (Data Science),What is an experimental group in research?,"Answer: An experimental group is the group in an experiment that receives the treatment or intervention, allowing researchers to assess the effects compared to a control group.",Medium
195,AI (Data Science),What is a qualitative analysis?,"Answer: A qualitative analysis is a research method focused on understanding human behavior, experiences, and social phenomena through non-numerical data.",Medium
